PID: 0, TP: 10000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 1, TP: 5000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 2, TP: 7000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 3, TP: 3000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 4, TP: 3000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 5, TP: 8000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 6, TP: 2000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 7, TP: 5000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 8, TP: 4000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 9, TP: 10000, CP: 0, EP: PRONTO, NES: 0, N_CPU: 0
PID: 0, TP: 10012, CP: 13, EP: BLOQUEADO, NES: 1, N_CPU: 13
PID: 0, TP: 10012, CP: 13, EP: PRONTO, NES: 1, N_CPU: 13
PID: 1, TP: 5024, CP: 25, EP: BLOQUEADO, NES: 1, N_CPU: 25
PID: 1, TP: 5101, CP: 102, EP: BLOQUEADO, NES: 2, N_CPU: 102
PID: 1, TP: 5103, CP: 104, EP: BLOQUEADO, NES: 3, N_CPU: 104
PID: 1, TP: 5105, CP: 106, EP: BLOQUEADO, NES: 4, N_CPU: 106
PID: 1, TP: 5129, CP: 130, EP: BLOQUEADO, NES: 5, N_CPU: 130
PID: 1, TP: 5155, CP: 156, EP: BLOQUEADO, NES: 6, N_CPU: 156
PID: 1, TP: 5166, CP: 167, EP: BLOQUEADO, NES: 7, N_CPU: 167
PID: 1, TP: 5166, CP: 167, EP: PRONTO, NES: 7, N_CPU: 167
PID: 2, TP: 7001, CP: 2, EP: BLOQUEADO, NES: 1, N_CPU: 2
PID: 2, TP: 7001, CP: 2, EP: PRONTO, NES: 1, N_CPU: 2
PID: 3, TP: 3021, CP: 22, EP: BLOQUEADO, NES: 1, N_CPU: 22
PID: 3, TP: 3021, CP: 22, EP: PRONTO, NES: 1, N_CPU: 22
PID: 4, TP: 3006, CP: 7, EP: BLOQUEADO, NES: 1, N_CPU: 7
PID: 4, TP: 3007, CP: 8, EP: BLOQUEADO, NES: 2, N_CPU: 8
PID: 4, TP: 3009, CP: 10, EP: BLOQUEADO, NES: 3, N_CPU: 10
PID: 4, TP: 3047, CP: 48, EP: BLOQUEADO, NES: 4, N_CPU: 48
PID: 4, TP: 3049, CP: 50, EP: BLOQUEADO, NES: 5, N_CPU: 50
PID: 4, TP: 3083, CP: 84, EP: BLOQUEADO, NES: 6, N_CPU: 84
PID: 4, TP: 3089, CP: 90, EP: BLOQUEADO, NES: 7, N_CPU: 90
PID: 4, TP: 3091, CP: 92, EP: BLOQUEADO, NES: 8, N_CPU: 92
PID: 4, TP: 3111, CP: 112, EP: BLOQUEADO, NES: 9, N_CPU: 112
PID: 4, TP: 3112, CP: 113, EP: BLOQUEADO, NES: 10, N_CPU: 113
PID: 4, TP: 3112, CP: 113, EP: PRONTO, NES: 10, N_CPU: 113
PID: 5, TP: 8012, CP: 13, EP: BLOQUEADO, NES: 1, N_CPU: 13
PID: 5, TP: 8018, CP: 19, EP: BLOQUEADO, NES: 2, N_CPU: 19
PID: 5, TP: 8027, CP: 28, EP: BLOQUEADO, NES: 3, N_CPU: 28
PID: 5, TP: 8086, CP: 87, EP: BLOQUEADO, NES: 4, N_CPU: 87
PID: 5, TP: 8087, CP: 88, EP: BLOQUEADO, NES: 5, N_CPU: 88
PID: 5, TP: 8122, CP: 123, EP: BLOQUEADO, NES: 6, N_CPU: 123
PID: 5, TP: 8122, CP: 123, EP: PRONTO, NES: 6, N_CPU: 123
PID: 6, TP: 2037, CP: 38, EP: BLOQUEADO, NES: 1, N_CPU: 38
PID: 6, TP: 2050, CP: 51, EP: BLOQUEADO, NES: 2, N_CPU: 51
PID: 6, TP: 2059, CP: 60, EP: BLOQUEADO, NES: 3, N_CPU: 60
PID: 6, TP: 2108, CP: 109, EP: BLOQUEADO, NES: 4, N_CPU: 109
PID: 6, TP: 2126, CP: 127, EP: BLOQUEADO, NES: 5, N_CPU: 127
PID: 6, TP: 2126, CP: 127, EP: PRONTO, NES: 5, N_CPU: 127
PID: 7, TP: 5017, CP: 18, EP: BLOQUEADO, NES: 1, N_CPU: 18
PID: 7, TP: 5045, CP: 46, EP: BLOQUEADO, NES: 2, N_CPU: 46
PID: 7, TP: 5064, CP: 65, EP: BLOQUEADO, NES: 3, N_CPU: 65
PID: 7, TP: 5064, CP: 65, EP: PRONTO, NES: 3, N_CPU: 65
PID: 8, TP: 4001, CP: 2, EP: BLOQUEADO, NES: 1, N_CPU: 2
PID: 8, TP: 4011, CP: 12, EP: BLOQUEADO, NES: 2, N_CPU: 12
PID: 8, TP: 4041, CP: 42, EP: BLOQUEADO, NES: 3, N_CPU: 42
PID: 8, TP: 4065, CP: 66, EP: BLOQUEADO, NES: 4, N_CPU: 66
PID: 8, TP: 4065, CP: 66, EP: PRONTO, NES: 4, N_CPU: 66
PID: 9, TP: 10001, CP: 2, EP: BLOQUEADO, NES: 1, N_CPU: 2
PID: 9, TP: 10003, CP: 4, EP: BLOQUEADO, NES: 2, N_CPU: 4
PID: 9, TP: 10023, CP: 24, EP: BLOQUEADO, NES: 3, N_CPU: 24
PID: 9, TP: 10023, CP: 24, EP: PRONTO, NES: 3, N_CPU: 24
